symbol,datetime,open,high,low,close
AMC,2022-10-27 04:00:00,6.83,6.93,6.485,6.51
AMC,2022-10-28 04:00:00,6.55,6.7,6.36,6.51
AMC,2022-10-31 04:00:00,6.82,7.25,6.54,6.66
AMC,2022-11-01 04:00:00,6.76,6.8508,6.13,6.15
AMC,2022-11-02 04:00:00,6.26,6.33,5.79,5.81
AMC,2022-11-03 04:00:00,5.75,5.85,5.58,5.7
AMC,2022-11-04 04:00:00,5.83,5.85,5.42,5.65
AMC,2022-11-07 05:00:00,5.56,5.6071,5.17,5.33
AMC,2022-11-08 05:00:00,5.38,5.62,5.3,5.62
AMC,2022-11-09 05:00:00,5.37,5.39,5.05,5.19
AMC,2022-11-10 05:00:00,5.5,6.27,5.35,6.13
AMC,2022-11-11 05:00:00,6.01,7.28,5.93,7.2
AMC,2022-11-14 05:00:00,8.02,8.35,7.29,7.34
AMC,2022-11-15 05:00:00,7.83,8.19,7.46,7.95
AMC,2022-11-16 05:00:00,7.74,7.8,7.16,7.53
AMC,2022-11-17 05:00:00,7.29,7.42,7.1,7.39
AMC,2022-11-18 05:00:00,7.53,7.84,7.34,7.59
AMC,2022-11-21 05:00:00,7.3,7.56,7.05,7.27
AMC,2022-11-22 05:00:00,7.21,7.509,7.07,7.32
AMC,2022-11-23 05:00:00,7.35,7.985,7.28,7.64
AMC,2022-11-25 05:00:00,7.66,7.74,7.5,7.51
AMC,2022-11-28 05:00:00,7.44,7.44,7.12,7.33
AMC,2022-11-29 05:00:00,7.29,7.6199,7.08,7.43
AMC,2022-11-30 05:00:00,7.48,7.48,6.96,7.23
AMC,2022-12-01 05:00:00,7.29,9.15,7.21,8.17
AMC,2022-12-02 05:00:00,8.18,8.63,7.92,8.17
AMC,2022-12-05 05:00:00,8.18,8.54,7.41,7.45
AMC,2022-12-06 05:00:00,7.46,7.48,6.68,6.75
AMC,2022-12-07 05:00:00,6.77,7.13,6.0,6.05
AMC,2022-12-08 05:00:00,6.24,6.7,5.97,6.07
AMC,2022-12-09 05:00:00,6.05,6.13,5.81,5.94
AMC,2022-12-12 05:00:00,5.99,6.0,5.61,5.95
AMC,2022-12-13 05:00:00,6.5,6.51,5.53,5.72
AMC,2022-12-14 05:00:00,5.77,5.88,5.605,5.75
AMC,2022-12-15 05:00:00,5.6,6.0485,5.53,5.6
AMC,2022-12-16 05:00:00,5.65,5.73,5.13,5.31
AMC,2022-12-19 05:00:00,5.23,5.32,4.78,4.89
AMC,2022-12-20 05:00:00,4.87,5.15,4.74,5.08
AMC,2022-12-21 05:00:00,5.14,5.37,5.05,5.3
AMC,2022-12-22 05:00:00,4.14,4.98,4.11,4.91
AMC,2022-12-23 05:00:00,4.7,4.82,4.31,4.4
AMC,2022-12-27 05:00:00,4.2,4.21,4.0,4.03
AMC,2022-12-28 05:00:00,4.01,4.13,3.81,3.84
AMC,2022-12-29 05:00:00,3.9,4.19,3.86,4.14
AMC,2022-12-30 05:00:00,4.04,4.09,3.9,4.07
